,Date,month,yield,maturity
30273,2019,2 Yr,0.015300000000000001,24
35167,2019,3 Yr,0.0154,36
40061,2019,5 Yr,0.0154,60
44955,2019,7 Yr,0.0165,84
49849,2019,10 Yr,0.0172,120
54743,2019,20 Yr,0.0203,240
59637,2019,30 Yr,0.0217,360
908,2019,1 Mo,0.0159,1
5802,2019,2 Mo,0.0154,2
10696,2019,3 Mo,0.0155,3
15590,2019,4 Mo,0.015600000000000001,4
20484,2019,6 Mo,0.015600000000000001,6
25378,2019,1 Yr,0.015600000000000001,12
30272,2019,2 Yr,0.0158,24
35166,2019,3 Yr,0.0158,36
40060,2019,5 Yr,0.016,60
44954,2019,7 Yr,0.0171,84
49848,2019,10 Yr,0.0177,120
54742,2019,20 Yr,0.0208,240
59636,2019,30 Yr,0.0222,360
907,2019,1 Mo,0.0152,1
5801,2019,2 Mo,0.015600000000000001,2
10695,2019,3 Mo,0.0154,3
15589,2019,4 Mo,0.0155,4
20483,2019,6 Mo,0.0155,6
25377,2019,1 Yr,0.015600000000000001,12
30271,2019,2 Yr,0.0158,24
35165,2019,3 Yr,0.016,36
40059,2019,5 Yr,0.016200000000000003,60
44953,2019,7 Yr,0.0173,84
49847,2019,10 Yr,0.018000000000000002,120
54741,2019,20 Yr,0.021099999999999997,240
59635,2019,30 Yr,0.022400000000000003,360
906,2019,1 Mo,0.0152,1
5800,2019,2 Mo,0.0155,2
10694,2019,3 Mo,0.015300000000000001,3
15588,2019,4 Mo,0.015600000000000001,4
20482,2019,6 Mo,0.015600000000000001,6
25376,2019,1 Yr,0.015700000000000002,12
30270,2019,2 Yr,0.0161,24
35164,2019,3 Yr,0.016399999999999998,36
40058,2019,5 Yr,0.0167,60
44952,2019,7 Yr,0.0178,84
49846,2019,10 Yr,0.0184,120
54740,2019,20 Yr,0.021400000000000002,240
59634,2019,30 Yr,0.0229,360
925,2019,1 Mo,0.015700000000000002,1
5819,2019,2 Mo,0.015700000000000002,2
10713,2019,3 Mo,0.015600000000000001,3
15607,2019,4 Mo,0.0158,4
20501,2019,6 Mo,0.0158,6
25395,2019,1 Yr,0.0158,12
30289,2019,2 Yr,0.0168,24
35183,2019,3 Yr,0.017,36
40077,2019,5 Yr,0.0174,60
44971,2019,7 Yr,0.0184,84
49865,2019,10 Yr,0.0192,120
54759,2019,20 Yr,0.022400000000000003,240
59653,2019,30 Yr,0.024,360
924,2019,1 Mo,0.015600000000000001,1
5818,2019,2 Mo,0.015600000000000001,2
10712,2019,3 Mo,0.0155,3
15606,2019,4 Mo,0.0158,4
20500,2019,6 Mo,0.0158,6
25394,2019,1 Yr,0.0158,12
30288,2019,2 Yr,0.0168,24
35182,2019,3 Yr,0.017,36
40076,2019,5 Yr,0.0174,60
44970,2019,7 Yr,0.018600000000000002,84
49864,2019,10 Yr,0.0194,120
54758,2019,20 Yr,0.0227,240
59652,2019,30 Yr,0.024300000000000002,360
905,2019,1 Mo,0.0154,1
5799,2019,2 Mo,0.0154,2
10693,2019,3 Mo,0.0154,3
15587,2019,4 Mo,0.0158,4
20481,2019,6 Mo,0.0158,6
25375,2019,1 Yr,0.015600000000000001,12
30269,2019,2 Yr,0.0163,24
35163,2019,3 Yr,0.0163,36
40057,2019,5 Yr,0.0167,60
44951,2019,7 Yr,0.0177,84
49845,2019,10 Yr,0.0183,120
54739,2019,20 Yr,0.0213,240
59633,2019,30 Yr,0.0227,360
660,2020,1 Mo,0.0007000000000000001,1
5554,2020,2 Mo,0.0007000000000000001,2
10448,2020,3 Mo,0.0009,3
15342,2020,4 Mo,0.001,4
20236,2020,6 Mo,0.001,6
25130,2020,1 Yr,0.0012,12
30024,2020,2 Yr,0.0017000000000000001,24
34918,2020,3 Yr,0.0022,36
39812,2020,5 Yr,0.0042,60
44706,2020,7 Yr,0.0068000000000000005,84
49600,2020,10 Yr,0.0092,120
54494,2020,20 Yr,0.0146,240
59388,2020,30 Yr,0.0166,360
659,2020,1 Mo,0.0007000000000000001,1
5553,2020,2 Mo,0.0008,2
10447,2020,3 Mo,0.0009,3
15341,2020,4 Mo,0.001,4
20235,2020,6 Mo,0.001,6
25129,2020,1 Yr,0.0011,12
30023,2020,2 Yr,0.0016,24
34917,2020,3 Yr,0.0022,36
39811,2020,5 Yr,0.0042,60
44705,2020,7 Yr,0.0069,84
49599,2020,10 Yr,0.0095,120
54493,2020,20 Yr,0.015,240
59387,2020,30 Yr,0.017,360
658,2020,1 Mo,0.0008,1
5552,2020,2 Mo,0.0008,2
10446,2020,3 Mo,0.0008,3
15340,2020,4 Mo,0.0009,4
20234,2020,6 Mo,0.0009,6
25128,2020,1 Yr,0.001,12
30022,2020,2 Yr,0.0016,24
34916,2020,3 Yr,0.0021,36
39810,2020,5 Yr,0.004,60
44704,2020,7 Yr,0.0067,84
49598,2020,10 Yr,0.0092,120
54492,2020,20 Yr,0.0146,240
59386,2020,30 Yr,0.0167,360
657,2020,1 Mo,0.0007000000000000001,1
5551,2020,2 Mo,0.0007000000000000001,2
10445,2020,3 Mo,0.0009,3
15339,2020,4 Mo,0.001,4
20233,2020,6 Mo,0.001,6
25127,2020,1 Yr,0.0011,12
30021,2020,2 Yr,0.0016,24
34915,2020,3 Yr,0.0021,36
39809,2020,5 Yr,0.0042,60
44703,2020,7 Yr,0.006999999999999999,84
49597,2020,10 Yr,0.0097,120
54491,2020,20 Yr,0.015300000000000001,240
59385,2020,30 Yr,0.0173,360
676,2020,1 Mo,0.0009,1
5570,2020,2 Mo,0.001,2
10464,2020,3 Mo,0.001,3
15358,2020,4 Mo,0.001,4
20252,2020,6 Mo,0.001,6
25146,2020,1 Yr,0.0012,12
30040,2020,2 Yr,0.0014000000000000002,24
34934,2020,3 Yr,0.0018,36
39828,2020,5 Yr,0.0033,60
44722,2020,7 Yr,0.005600000000000001,84
49616,2020,10 Yr,0.0079,120
54510,2020,20 Yr,0.0132,240
59404,2020,30 Yr,0.0154,360
675,2020,1 Mo,0.001,1
5569,2020,2 Mo,0.001,2
10463,2020,3 Mo,0.001,3
15357,2020,4 Mo,0.0011,4
20251,2020,6 Mo,0.0011,6
25145,2020,1 Yr,0.0012,12
30039,2020,2 Yr,0.0016,24
34933,2020,3 Yr,0.0021,36
39827,2020,5 Yr,0.0036,60
44721,2020,7 Yr,0.0059,84
49615,2020,10 Yr,0.0083,120
54509,2020,20 Yr,0.0137,240
59403,2020,30 Yr,0.016,360
656,2020,1 Mo,0.0009,1
5550,2020,2 Mo,0.0008,2
10444,2020,3 Mo,0.0008,3
15338,2020,4 Mo,0.001,4
20232,2020,6 Mo,0.001,6
25126,2020,1 Yr,0.001,12
30020,2020,2 Yr,0.0014000000000000002,24
34914,2020,3 Yr,0.002,36
39808,2020,5 Yr,0.004,60
44702,2020,7 Yr,0.0067,84
49596,2020,10 Yr,0.009399999999999999,120
54490,2020,20 Yr,0.0149,240
59384,2020,30 Yr,0.0169,360
655,2020,1 Mo,0.0008,1
5549,2020,2 Mo,0.0008,2
10443,2020,3 Mo,0.0009,3
15337,2020,4 Mo,0.0009,4
20231,2020,6 Mo,0.0009,6
25125,2020,1 Yr,0.001,12
30019,2020,2 Yr,0.0014000000000000002,24
34913,2020,3 Yr,0.002,36
39807,2020,5 Yr,0.0039000000000000003,60
44701,2020,7 Yr,0.006500000000000001,84
49595,2020,10 Yr,0.0092,120
54489,2020,20 Yr,0.0146,240
59383,2020,30 Yr,0.0167,360
654,2020,1 Mo,0.0007000000000000001,1
5548,2020,2 Mo,0.0007000000000000001,2
10442,2020,3 Mo,0.0008,3
15336,2020,4 Mo,0.0009,4
20230,2020,6 Mo,0.0009,6
25124,2020,1 Yr,0.001,12
30018,2020,2 Yr,0.0016,24
34912,2020,3 Yr,0.0021,36
39806,2020,5 Yr,0.0040999999999999995,60
44700,2020,7 Yr,0.0068000000000000005,84
49594,2020,10 Yr,0.0095,120
54488,2020,20 Yr,0.0148,240
59382,2020,30 Yr,0.0169,360
409,2021,1 Mo,0.0009,1
5303,2021,2 Mo,0.0004,2
10197,2021,3 Mo,0.0006,3
15091,2021,4 Mo,0.001,4
19985,2021,6 Mo,0.001,6
24879,2021,1 Yr,0.0025,12
29773,2021,2 Yr,0.005600000000000001,24
34667,2021,3 Yr,0.0085,36
39561,2021,5 Yr,0.0115,60
44455,2021,7 Yr,0.013500000000000002,84
49349,2021,10 Yr,0.0143,120
54243,2021,20 Yr,0.0184,240
59137,2021,30 Yr,0.0177,360
408,2021,1 Mo,0.0005,1
5302,2021,2 Mo,0.0005,2
10196,2021,3 Mo,0.0005,3
15090,2021,4 Mo,0.0009,4
19984,2021,6 Mo,0.0009,6
24878,2021,1 Yr,0.0027,12
29772,2021,2 Yr,0.0063,24
34666,2021,3 Yr,0.009000000000000001,36
39560,2021,5 Yr,0.0121,60
44454,2021,7 Yr,0.0138,84
49348,2021,10 Yr,0.0144,120
54242,2021,20 Yr,0.0187,240
59136,2021,30 Yr,0.0176,360
407,2021,1 Mo,0.0004,1
5301,2021,2 Mo,0.0005,2
10195,2021,3 Mo,0.0006,3
15089,2021,4 Mo,0.0009,4
19983,2021,6 Mo,0.0009,6
24877,2021,1 Yr,0.0026,12
29771,2021,2 Yr,0.006,24
34665,2021,3 Yr,0.0086,36
39559,2021,5 Yr,0.0113,60
44453,2021,7 Yr,0.0129,84
49347,2021,10 Yr,0.013500000000000002,120
54241,2021,20 Yr,0.0177,240
59135,2021,30 Yr,0.0169,360
426,2021,1 Mo,0.0005,1
5320,2021,2 Mo,0.0005,2
10214,2021,3 Mo,0.0004,3
15108,2021,4 Mo,0.0007000000000000001,4
20002,2021,6 Mo,0.0007000000000000001,6
24896,2021,1 Yr,0.0014000000000000002,12
29790,2021,2 Yr,0.0040999999999999995,24
34684,2021,3 Yr,0.0069,36
39578,2021,5 Yr,0.011000000000000001,60
44472,2021,7 Yr,0.0137,84
49366,2021,10 Yr,0.015300000000000001,120
54260,2021,20 Yr,0.0196,240
59154,2021,30 Yr,0.0196,360
425,2021,1 Mo,0.0005,1
5319,2021,2 Mo,0.0006,2
10213,2021,3 Mo,0.0005,3
15107,2021,4 Mo,0.0007000000000000001,4
20001,2021,6 Mo,0.0007000000000000001,6
24895,2021,1 Yr,0.0014000000000000002,12
29789,2021,2 Yr,0.0039000000000000003,24
34683,2021,3 Yr,0.0066,36
39577,2021,5 Yr,0.0104,60
44471,2021,7 Yr,0.013000000000000001,84
49365,2021,10 Yr,0.014499999999999999,120
54259,2021,20 Yr,0.018799999999999997,240
59153,2021,30 Yr,0.0187,360
406,2021,1 Mo,0.0005,1
5300,2021,2 Mo,0.0005,2
10194,2021,3 Mo,0.0005,3
15088,2021,4 Mo,0.0012,4
19982,2021,6 Mo,0.0012,6
24876,2021,1 Yr,0.0028000000000000004,12
29770,2021,2 Yr,0.006500000000000001,24
34664,2021,3 Yr,0.0091,36
39558,2021,5 Yr,0.0121,60
44452,2021,7 Yr,0.0138,84
49346,2021,10 Yr,0.0143,120
54240,2021,20 Yr,0.0184,240
59134,2021,30 Yr,0.0175,360
405,2021,1 Mo,0.0005,1
5299,2021,2 Mo,0.0006,2
10193,2021,3 Mo,0.0006,3
15087,2021,4 Mo,0.0015,4
19981,2021,6 Mo,0.0015,6
24875,2021,1 Yr,0.0031,12
29769,2021,2 Yr,0.006999999999999999,24
34663,2021,3 Yr,0.009899999999999999,36
39557,2021,5 Yr,0.0126,60
44451,2021,7 Yr,0.0143,84
49345,2021,10 Yr,0.0148,120
54239,2021,20 Yr,0.018799999999999997,240
59133,2021,30 Yr,0.018000000000000002,360
404,2021,1 Mo,0.0004,1
5298,2021,2 Mo,0.0005,2
10192,2021,3 Mo,0.0007000000000000001,3
15086,2021,4 Mo,0.0013,4
19980,2021,6 Mo,0.0013,6
24874,2021,1 Yr,0.0029,12
29768,2021,2 Yr,0.0068000000000000005,24
34662,2021,3 Yr,0.009899999999999999,36
39556,2021,5 Yr,0.0127,60
44450,2021,7 Yr,0.0144,84
49344,2021,10 Yr,0.0152,120
54238,2021,20 Yr,0.019299999999999998,240
59132,2021,30 Yr,0.0187,360
403,2021,1 Mo,0.0003,1
5297,2021,2 Mo,0.0006,2
10191,2021,3 Mo,0.0006,3
15085,2021,4 Mo,0.0012,4
19979,2021,6 Mo,0.0012,6
24873,2021,1 Yr,0.0028000000000000004,12
29767,2021,2 Yr,0.006999999999999999,24
34661,2021,3 Yr,0.009899999999999999,36
39555,2021,5 Yr,0.0126,60
44449,2021,7 Yr,0.014199999999999999,84
49343,2021,10 Yr,0.0149,120
54237,2021,20 Yr,0.0191,240
59131,2021,30 Yr,0.0187,360
159,2022,1 Mo,0.0404,1
5053,2022,2 Mo,0.0424,2
9947,2022,3 Mo,0.0433,3
14841,2022,4 Mo,0.0452,4
19735,2022,6 Mo,0.04650000000000001,6
24629,2022,1 Yr,0.0466,12
29523,2022,2 Yr,0.0425,24
34417,2022,3 Yr,0.0398,36
39311,2022,5 Yr,0.0368,60
44205,2022,7 Yr,0.0362,84
49099,2022,10 Yr,0.0353,120
53993,2022,20 Yr,0.0385,240
58887,2022,30 Yr,0.0364,360
158,2022,1 Mo,0.0391,1
5052,2022,2 Mo,0.0425,2
9946,2022,3 Mo,0.0434,3
14840,2022,4 Mo,0.0452,4
19734,2022,6 Mo,0.04650000000000001,6
24628,2022,1 Yr,0.046900000000000004,12
29522,2022,2 Yr,0.042800000000000005,24
34416,2022,3 Yr,0.039900000000000005,36
39310,2022,5 Yr,0.036699999999999997,60
44204,2022,7 Yr,0.0361,84
49098,2022,10 Yr,0.0351,120
53992,2022,20 Yr,0.0379,240
58886,2022,30 Yr,0.0356,360
177,2022,1 Mo,0.0375,1
5071,2022,2 Mo,0.0404,2
9965,2022,3 Mo,0.0425,3
14859,2022,4 Mo,0.0438,4
19753,2022,6 Mo,0.045700000000000005,6
24647,2022,1 Yr,0.0478,12
29541,2022,2 Yr,0.0471,24
34435,2022,3 Yr,0.0463,36
39329,2022,5 Yr,0.0436,60
44223,2022,7 Yr,0.0426,84
49117,2022,10 Yr,0.0414,120
54011,2022,20 Yr,0.044199999999999996,240
58905,2022,30 Yr,0.0418,360
176,2022,1 Mo,0.0373,1
5070,2022,2 Mo,0.04,2
9964,2022,3 Mo,0.0421,3
14858,2022,4 Mo,0.0436,4
19752,2022,6 Mo,0.0455,6
24646,2022,1 Yr,0.047599999999999996,12
29540,2022,2 Yr,0.0466,24
34434,2022,3 Yr,0.0458,36
39328,2022,5 Yr,0.0433,60
44222,2022,7 Yr,0.0426,84
49116,2022,10 Yr,0.0417,120
54010,2022,20 Yr,0.0449,240
58904,2022,30 Yr,0.042699999999999995,360
157,2022,1 Mo,0.0393,1
5051,2022,2 Mo,0.0425,2
9945,2022,3 Mo,0.0436,3
14839,2022,4 Mo,0.045599999999999995,4
19733,2022,6 Mo,0.0473,6
24627,2022,1 Yr,0.04769999999999999,12
29521,2022,2 Yr,0.0441,24
34415,2022,3 Yr,0.041299999999999996,36
39309,2022,5 Yr,0.038,60
44203,2022,7 Yr,0.037200000000000004,84
49097,2022,10 Yr,0.036000000000000004,120
53991,2022,20 Yr,0.0384,240
58885,2022,30 Yr,0.0362,360
156,2022,1 Mo,0.0387,1
5050,2022,2 Mo,0.04190000000000001,2
9944,2022,3 Mo,0.0437,3
14838,2022,4 Mo,0.0454,4
19732,2022,6 Mo,0.047400000000000005,6
24626,2022,1 Yr,0.0473,12
29520,2022,2 Yr,0.0434,24
34414,2022,3 Yr,0.0407,36
39308,2022,5 Yr,0.0373,60
44202,2022,7 Yr,0.0364,84
49096,2022,10 Yr,0.0351,120
53990,2022,20 Yr,0.0377,240
58884,2022,30 Yr,0.0352,360
155,2022,1 Mo,0.0379,1
5049,2022,2 Mo,0.040999999999999995,2
9943,2022,3 Mo,0.0429,3
14837,2022,4 Mo,0.0453,4
19731,2022,6 Mo,0.0472,6
24625,2022,1 Yr,0.0467,12
29519,2022,2 Yr,0.0426,24
34413,2022,3 Yr,0.0397,36
39307,2022,5 Yr,0.0362,60
44201,2022,7 Yr,0.0354,84
49095,2022,10 Yr,0.0342,120
53989,2022,20 Yr,0.0366,240
58883,2022,30 Yr,0.0342,360
154,2022,1 Mo,0.0375,1
5048,2022,2 Mo,0.041100000000000005,2
9942,2022,3 Mo,0.042800000000000005,3
14836,2022,4 Mo,0.0453,4
19730,2022,6 Mo,0.0471,6
24624,2022,1 Yr,0.0471,12
29518,2022,2 Yr,0.0431,24
34412,2022,3 Yr,0.0404,36
39306,2022,5 Yr,0.0371,60
44200,2022,7 Yr,0.0363,84
49094,2022,10 Yr,0.0348,120
53988,2022,20 Yr,0.0371,240
58882,2022,30 Yr,0.0344,360
153,2022,1 Mo,0.0381,1
5047,2022,2 Mo,0.041299999999999996,2
9941,2022,3 Mo,0.0431,3
14835,2022,4 Mo,0.0454,4
19729,2022,6 Mo,0.0472,6
24623,2022,1 Yr,0.0472,12
29517,2022,2 Yr,0.0433,24
34411,2022,3 Yr,0.0407,36
39305,2022,5 Yr,0.0375,60
44199,2022,7 Yr,0.0369,84
49093,2022,10 Yr,0.035699999999999996,120
53987,2022,20 Yr,0.0382,240
58881,2022,30 Yr,0.0356,360
34,2023,1 Mo,0.053,1
4928,2023,2 Mo,0.053899999999999997,2
9822,2023,3 Mo,0.055,3
14716,2023,4 Mo,0.055,4
19610,2023,6 Mo,0.054400000000000004,6
24504,2023,1 Yr,0.051100000000000007,12
29398,2023,2 Yr,0.0433,24
34292,2023,3 Yr,0.0398,36
39186,2023,5 Yr,0.037000000000000005,60
44080,2023,7 Yr,0.0366,84
48974,2023,10 Yr,0.0361,120
53868,2023,20 Yr,0.0398,240
58762,2023,30 Yr,0.0384,360
33,2023,1 Mo,0.0528,1
4927,2023,2 Mo,0.053899999999999997,2
9821,2023,3 Mo,0.055,3
14715,2023,4 Mo,0.0552,4
19609,2023,6 Mo,0.055,6
24503,2023,1 Yr,0.052199999999999996,12
29397,2023,2 Yr,0.045,24
34291,2023,3 Yr,0.041299999999999996,36
39185,2023,5 Yr,0.0384,60
44079,2023,7 Yr,0.0378,84
48973,2023,10 Yr,0.0369,120
53867,2023,20 Yr,0.0403,240
58761,2023,30 Yr,0.0388,360
13,2023,1 Mo,0.0527,1
4907,2023,2 Mo,0.054000000000000006,2
9801,2023,3 Mo,0.054400000000000004,3
14695,2023,4 Mo,0.0552,4
19589,2023,6 Mo,0.0553,6
24483,2023,1 Yr,0.054299999999999994,12
29377,2023,2 Yr,0.049400000000000006,24
34271,2023,3 Yr,0.045599999999999995,36
39165,2023,5 Yr,0.04190000000000001,60
44059,2023,7 Yr,0.0403,84
48953,2023,10 Yr,0.038599999999999995,120
53847,2023,20 Yr,0.0408,240
58741,2023,30 Yr,0.0387,360
53,2023,1 Mo,0.0576,1
4947,2023,2 Mo,0.0524,2
9841,2023,3 Mo,0.0526,3
14735,2023,4 Mo,0.052300000000000006,4
19629,2023,6 Mo,0.0504,6
24523,2023,1 Yr,0.045899999999999996,12
29417,2023,2 Yr,0.0375,24
34311,2023,3 Yr,0.0347,36
39205,2023,5 Yr,0.0329,60
44099,2023,7 Yr,0.0332,84
48993,2023,10 Yr,0.0337,120
53887,2023,20 Yr,0.038,240
58781,2023,30 Yr,0.0373,360
12,2023,1 Mo,0.0528,1
4906,2023,2 Mo,0.0538,2
9800,2023,3 Mo,0.054400000000000004,3
14694,2023,4 Mo,0.055099999999999996,4
19588,2023,6 Mo,0.0552,6
24482,2023,1 Yr,0.054000000000000006,12
29376,2023,2 Yr,0.049400000000000006,24
34270,2023,3 Yr,0.045899999999999996,36
39164,2023,5 Yr,0.0425,60
44058,2023,7 Yr,0.041100000000000005,84
48952,2023,10 Yr,0.0395,120
53846,2023,20 Yr,0.0417,240
58740,2023,30 Yr,0.0395,360
11,2023,1 Mo,0.053200000000000004,1
4905,2023,2 Mo,0.0547,2
9799,2023,3 Mo,0.0546,3
14693,2023,4 Mo,0.0552,4
19587,2023,6 Mo,0.0554,6
24481,2023,1 Yr,0.054400000000000004,12
29375,2023,2 Yr,0.0499,24
34269,2023,3 Yr,0.046799999999999994,36
39163,2023,5 Yr,0.0437,60
44057,2023,7 Yr,0.042199999999999994,84
48951,2023,10 Yr,0.0405,120
53845,2023,20 Yr,0.042300000000000004,240
58739,2023,30 Yr,0.0401,360
0,2023,1 Mo,0.054299999999999994,1
4894,2023,2 Mo,0.0554,2
9788,2023,3 Mo,0.055,3
14682,2023,4 Mo,0.0554,4
19576,2023,6 Mo,0.0553,6
24470,2023,1 Yr,0.0535,12
29364,2023,2 Yr,0.0482,24
34258,2023,3 Yr,0.0444,36
39152,2023,5 Yr,0.0409,60
44046,2023,7 Yr,0.0397,84
48940,2023,10 Yr,0.0384,120
53834,2023,20 Yr,0.040999999999999995,240
58728,2023,30 Yr,0.0391,360
29,2023,1 Mo,0.0525,1
4923,2023,2 Mo,0.0529,2
9817,2023,3 Mo,0.0538,3
14711,2023,4 Mo,0.0542,4
19605,2023,6 Mo,0.053899999999999997,6
24499,2023,1 Yr,0.0512,12
29393,2023,2 Yr,0.0452,24
34287,2023,3 Yr,0.0417,36
39181,2023,5 Yr,0.0387,60
44075,2023,7 Yr,0.038,84
48969,2023,10 Yr,0.0373,120
53863,2023,20 Yr,0.0405,240
58757,2023,30 Yr,0.038900000000000004,360
28,2023,1 Mo,0.0525,1
4922,2023,2 Mo,0.053200000000000004,2
9816,2023,3 Mo,0.0537,3
14710,2023,4 Mo,0.0545,4
19604,2023,6 Mo,0.053899999999999997,6
24498,2023,1 Yr,0.051699999999999996,12
29392,2023,2 Yr,0.045899999999999996,24
34286,2023,3 Yr,0.042300000000000004,36
39180,2023,5 Yr,0.0392,60
44074,2023,7 Yr,0.0384,84
48968,2023,10 Yr,0.0375,120
53862,2023,20 Yr,0.0405,240
58756,2023,30 Yr,0.038900000000000004,360
