,variable,value,date
117,16-24,138,q1 2014
121,16-24,150,q1 2015
125,16-24,160,q1 2016
129,16-24,152,q1 2017
133,16-24,135,q1 2018
137,16-24,148,q1 2019
141,16-24,191,q1 2020
145,16-24,175,q1 2021
149,16-24,203,q1 2022
114,16-24,115,q2 2013
118,16-24,133,q2 2014
122,16-24,158,q2 2015
126,16-24,159,q2 2016
130,16-24,149,q2 2017
134,16-24,143,q2 2018
138,16-24,158,q2 2019
142,16-24,185,q2 2020
146,16-24,150,q2 2021
150,16-24,201,q2 2022
115,16-24,121,q3 2013
119,16-24,137,q3 2014
123,16-24,157,q3 2015
127,16-24,175,q3 2016
131,16-24,171,q3 2017
135,16-24,151,q3 2018
139,16-24,168,q3 2019
143,16-24,192,q3 2020
147,16-24,190,q3 2021
151,16-24,222,q3 2022
116,16-24,120,q4 2013
120,16-24,142,q4 2014
124,16-24,145,q4 2015
128,16-24,159,q4 2016
132,16-24,151,q4 2017
136,16-24,148,q4 2018
140,16-24,184,q4 2019
144,16-24,196,q4 2020
148,16-24,202,q4 2021
3,25-34,198,q1 2014
7,25-34,191,q1 2015
11,25-34,216,q1 2016
15,25-34,198,q1 2017
19,25-34,221,q1 2018
23,25-34,242,q1 2019
27,25-34,237,q1 2020
31,25-34,256,q1 2021
35,25-34,329,q1 2022
0,25-34,220,q2 2013
4,25-34,197,q2 2014
8,25-34,217,q2 2015
12,25-34,195,q2 2016
16,25-34,196,q2 2017
20,25-34,217,q2 2018
24,25-34,234,q2 2019
28,25-34,242,q2 2020
32,25-34,271,q2 2021
36,25-34,331,q2 2022
1,25-34,191,q3 2013
5,25-34,224,q3 2014
9,25-34,222,q3 2015
13,25-34,202,q3 2016
17,25-34,221,q3 2017
21,25-34,225,q3 2018
25,25-34,236,q3 2019
29,25-34,258,q3 2020
33,25-34,299,q3 2021
37,25-34,348,q3 2022
2,25-34,190,q4 2013
6,25-34,211,q4 2014
10,25-34,215,q4 2015
14,25-34,189,q4 2016
18,25-34,217,q4 2017
22,25-34,227,q4 2018
26,25-34,233,q4 2019
30,25-34,262,q4 2020
34,25-34,305,q4 2021
41,35-49,582,q1 2014
45,35-49,573,q1 2015
49,35-49,576,q1 2016
53,35-49,551,q1 2017
57,35-49,518,q1 2018
61,35-49,498,q1 2019
65,35-49,516,q1 2020
69,35-49,563,q1 2021
73,35-49,536,q1 2022
38,35-49,630,q2 2013
42,35-49,583,q2 2014
46,35-49,587,q2 2015
50,35-49,554,q2 2016
54,35-49,555,q2 2017
58,35-49,539,q2 2018
62,35-49,510,q2 2019
66,35-49,512,q2 2020
70,35-49,548,q2 2021
74,35-49,542,q2 2022
39,35-49,606,q3 2013
43,35-49,571,q3 2014
47,35-49,606,q3 2015
51,35-49,547,q3 2016
55,35-49,564,q3 2017
59,35-49,517,q3 2018
63,35-49,508,q3 2019
67,35-49,557,q3 2020
71,35-49,548,q3 2021
75,35-49,583,q3 2022
40,35-49,646,q4 2013
44,35-49,575,q4 2014
48,35-49,593,q4 2015
52,35-49,540,q4 2016
56,35-49,534,q4 2017
60,35-49,508,q4 2018
64,35-49,501,q4 2019
68,35-49,555,q4 2020
72,35-49,550,q4 2021
79,50-64,"1,066",q1 2014
83,50-64,"1,099",q1 2015
87,50-64,"1,136",q1 2016
91,50-64,"1,078",q1 2017
95,50-64,"1,092",q1 2018
99,50-64,"1,106",q1 2019
103,50-64,"1,171",q1 2020
107,50-64,"1,205",q1 2021
111,50-64,"1,238",q1 2022
76,50-64,"1,106",q2 2013
80,50-64,"1,086",q2 2014
84,50-64,"1,130",q2 2015
88,50-64,"1,140",q2 2016
92,50-64,"1,086",q2 2017
96,50-64,"1,146",q2 2018
100,50-64,"1,137",q2 2019
104,50-64,"1,193",q2 2020
108,50-64,"1,223",q2 2021
112,50-64,"1,320",q2 2022
77,50-64,"1,068",q3 2013
81,50-64,"1,094",q3 2014
85,50-64,"1,134",q3 2015
89,50-64,"1,093",q3 2016
93,50-64,"1,111",q3 2017
97,50-64,"1,118",q3 2018
101,50-64,"1,154",q3 2019
105,50-64,"1,213",q3 2020
109,50-64,"1,248",q3 2021
113,50-64,"1,375",q3 2022
78,50-64,"1,085",q4 2013
82,50-64,"1,105",q4 2014
86,50-64,"1,118",q4 2015
90,50-64,"1,066",q4 2016
94,50-64,"1,092",q4 2017
98,50-64,"1,122",q4 2018
102,50-64,"1,156",q4 2019
106,50-64,"1,219",q4 2020
110,50-64,"1,272",q4 2021
