,date,unemploy,wage
0,2020-01,0.04,1.0
1,2020-02,0.04,1.0
2,2020-03,0.040999999999999995,0.9688644688644689
3,2020-04,0.040999999999999995,0.9688644688644689
4,2020-05,0.040999999999999995,0.9743589743589743
5,2020-06,0.043,0.9743589743589743
6,2020-07,0.046,0.9871794871794871
7,2020-08,0.049,1.010989010989011
8,2020-09,0.051,1.0219780219780221
9,2020-10,0.051,1.031135531135531
10,2020-11,0.052000000000000005,1.0402930402930404
11,2020-12,0.051,1.043956043956044
12,2021-01,0.051,1.043956043956044
13,2021-02,0.049,1.0384615384615385
14,2021-03,0.049,1.010989010989011
15,2021-04,0.049,1.054945054945055
16,2021-05,0.047,1.064102564102564
17,2021-06,0.046,1.0567765567765568
18,2021-07,0.044000000000000004,1.064102564102564
19,2021-08,0.043,1.0695970695970696
20,2021-09,0.042,1.0732600732600732
21,2021-10,0.040999999999999995,1.0769230769230769
22,2021-11,0.04,1.075091575091575
23,2021-12,0.04,1.1043956043956045
24,2022-01,0.038,1.0970695970695972
25,2022-02,0.037000000000000005,1.098901098901099
26,2022-03,0.038,1.1135531135531136
27,2022-04,0.038,1.1062271062271063
28,2022-05,0.038,1.10989010989011
29,2022-06,0.036000000000000004,1.1227106227106227
30,2022-07,0.035,1.1263736263736264
31,2022-08,0.036000000000000004,1.1336996336996337
32,2022-09,0.037000000000000005,1.1391941391941394
33,2022-10,0.037000000000000005,1.1465201465201467
34,2022-11,0.037000000000000005,1.152014652014652
35,2022-12,0.037000000000000005,1.1575091575091576
36,2023-01,0.038,1.163003663003663
37,2023-02,0.039,1.1721611721611722
38,2023-03,0.038,1.1794871794871795
39,2023-04,0.04,1.1923076923076923
40,2023-05,0.042,1.1996336996336998
41,2023-06,0.043,1.2271062271062272
