,Date,Variable,Value,Gender
7108,2014-09,Ages 50-64,0.22899999999999998,Male
7112,2014-09,Ages 65+,0.867,Male
7116,2014-09,Ages 16-24,0.37200000000000005,Male
7120,2014-09,Ages 25-34,0.22699999999999998,Female
7124,2014-09,Ages 35-49,0.191,Female
7128,2014-09,Ages 50-64,0.35100000000000003,Female
7132,2014-09,Ages 65+,0.924,Female
7136,2014-09,Ages 16-24,0.40399999999999997,Female
7260,2014-12,Ages 25-34,0.149,All
7264,2014-12,Ages 35-49,0.134,All
7268,2014-12,Ages 50-64,0.29,All
7272,2014-12,Ages 65+,0.898,All
7276,2014-12,Ages 16-24,0.39,All
7280,2014-12,Ages 25-34,0.071,Male
7284,2014-12,Ages 35-49,0.076,Male
7288,2014-12,Ages 50-64,0.228,Male
7292,2014-12,Ages 65+,0.866,Male
7296,2014-12,Ages 16-24,0.37200000000000005,Male
7300,2014-12,Ages 25-34,0.22699999999999998,Female
7304,2014-12,Ages 35-49,0.191,Female
7308,2014-12,Ages 50-64,0.349,Female
7312,2014-12,Ages 65+,0.924,Female
7316,2014-12,Ages 16-24,0.409,Female
7440,2015-03,Ages 25-34,0.15,All
7444,2015-03,Ages 35-49,0.134,All
7448,2015-03,Ages 50-64,0.28800000000000003,All
7452,2015-03,Ages 65+,0.8959999999999999,All
7456,2015-03,Ages 16-24,0.386,All
7460,2015-03,Ages 25-34,0.071,Male
7464,2015-03,Ages 35-49,0.076,Male
7468,2015-03,Ages 50-64,0.226,Male
7472,2015-03,Ages 65+,0.8640000000000001,Male
7476,2015-03,Ages 16-24,0.365,Male
7480,2015-03,Ages 25-34,0.22699999999999998,Female
7484,2015-03,Ages 35-49,0.19,Female
7488,2015-03,Ages 50-64,0.348,Female
7492,2015-03,Ages 65+,0.9229999999999999,Female
7496,2015-03,Ages 16-24,0.40700000000000003,Female
7620,2015-06,Ages 25-34,0.152,All
7624,2015-06,Ages 35-49,0.135,All
7628,2015-06,Ages 50-64,0.285,All
7632,2015-06,Ages 65+,0.8959999999999999,All
7636,2015-06,Ages 16-24,0.381,All
7640,2015-06,Ages 25-34,0.073,Male
7644,2015-06,Ages 35-49,0.077,Male
7648,2015-06,Ages 50-64,0.223,Male
7652,2015-06,Ages 65+,0.8640000000000001,Male
7656,2015-06,Ages 16-24,0.36,Male
7660,2015-06,Ages 25-34,0.23,Female
7664,2015-06,Ages 35-49,0.191,Female
7668,2015-06,Ages 50-64,0.345,Female
7672,2015-06,Ages 65+,0.9229999999999999,Female
7676,2015-06,Ages 16-24,0.40299999999999997,Female
7800,2015-09,Ages 25-34,0.151,All
7804,2015-09,Ages 35-49,0.135,All
7808,2015-09,Ages 50-64,0.28300000000000003,All
7812,2015-09,Ages 65+,0.8959999999999999,All
7816,2015-09,Ages 16-24,0.37799999999999995,All
7820,2015-09,Ages 25-34,0.075,Male
7824,2015-09,Ages 35-49,0.076,Male
7828,2015-09,Ages 50-64,0.222,Male
7832,2015-09,Ages 65+,0.862,Male
7836,2015-09,Ages 16-24,0.359,Male
7840,2015-09,Ages 25-34,0.225,Female
7844,2015-09,Ages 35-49,0.192,Female
7848,2015-09,Ages 50-64,0.34299999999999997,Female
7852,2015-09,Ages 65+,0.924,Female
7856,2015-09,Ages 16-24,0.397,Female
7980,2015-12,Ages 25-34,0.151,All
7984,2015-12,Ages 35-49,0.135,All
7988,2015-12,Ages 50-64,0.281,All
7992,2015-12,Ages 65+,0.895,All
7996,2015-12,Ages 16-24,0.376,All
8000,2015-12,Ages 25-34,0.075,Male
8004,2015-12,Ages 35-49,0.076,Male
8008,2015-12,Ages 50-64,0.221,Male
8012,2015-12,Ages 65+,0.86,Male
8016,2015-12,Ages 16-24,0.36,Male
8020,2015-12,Ages 25-34,0.225,Female
8024,2015-12,Ages 35-49,0.192,Female
8028,2015-12,Ages 50-64,0.34,Female
8032,2015-12,Ages 65+,0.924,Female
8036,2015-12,Ages 16-24,0.392,Female
8160,2016-03,Ages 25-34,0.14800000000000002,All
8164,2016-03,Ages 35-49,0.136,All
8168,2016-03,Ages 50-64,0.28,All
8172,2016-03,Ages 65+,0.8959999999999999,All
8176,2016-03,Ages 16-24,0.376,All
8180,2016-03,Ages 25-34,0.076,Male
8184,2016-03,Ages 35-49,0.077,Male
8188,2016-03,Ages 50-64,0.22,Male
8192,2016-03,Ages 65+,0.862,Male
8196,2016-03,Ages 16-24,0.36,Male
8200,2016-03,Ages 25-34,0.221,Female
8204,2016-03,Ages 35-49,0.19399999999999998,Female
8208,2016-03,Ages 50-64,0.33899999999999997,Female
8212,2016-03,Ages 65+,0.925,Female
8216,2016-03,Ages 16-24,0.392,Female
8340,2016-06,Ages 25-34,0.146,All
8344,2016-06,Ages 35-49,0.138,All
8348,2016-06,Ages 50-64,0.278,All
8352,2016-06,Ages 65+,0.895,All
8356,2016-06,Ages 16-24,0.375,All
8360,2016-06,Ages 25-34,0.075,Male
8364,2016-06,Ages 35-49,0.078,Male
8368,2016-06,Ages 50-64,0.21899999999999997,Male
8372,2016-06,Ages 65+,0.861,Male
8376,2016-06,Ages 16-24,0.364,Male
8380,2016-06,Ages 25-34,0.21600000000000003,Female
8384,2016-06,Ages 35-49,0.19699999999999998,Female
8388,2016-06,Ages 50-64,0.336,Female
8392,2016-06,Ages 65+,0.924,Female
8396,2016-06,Ages 16-24,0.38799999999999996,Female
8520,2016-09,Ages 25-34,0.146,All
8524,2016-09,Ages 35-49,0.139,All
8528,2016-09,Ages 50-64,0.276,All
8532,2016-09,Ages 65+,0.894,All
8536,2016-09,Ages 16-24,0.381,All
8540,2016-09,Ages 25-34,0.073,Male
8544,2016-09,Ages 35-49,0.078,Male
8548,2016-09,Ages 50-64,0.217,Male
8552,2016-09,Ages 65+,0.86,Male
8556,2016-09,Ages 16-24,0.368,Male
8560,2016-09,Ages 25-34,0.218,Female
8564,2016-09,Ages 35-49,0.19699999999999998,Female
8568,2016-09,Ages 50-64,0.33299999999999996,Female
8572,2016-09,Ages 65+,0.9229999999999999,Female
8576,2016-09,Ages 16-24,0.395,Female
8700,2016-12,Ages 25-34,0.14400000000000002,All
8704,2016-12,Ages 35-49,0.13699999999999998,All
8708,2016-12,Ages 50-64,0.276,All
8712,2016-12,Ages 65+,0.895,All
8716,2016-12,Ages 16-24,0.384,All
8720,2016-12,Ages 25-34,0.071,Male
8724,2016-12,Ages 35-49,0.077,Male
8728,2016-12,Ages 50-64,0.218,Male
8732,2016-12,Ages 65+,0.861,Male
8736,2016-12,Ages 16-24,0.371,Male
8740,2016-12,Ages 25-34,0.217,Female
8744,2016-12,Ages 35-49,0.196,Female
8748,2016-12,Ages 50-64,0.332,Female
8752,2016-12,Ages 65+,0.9229999999999999,Female
8756,2016-12,Ages 16-24,0.39799999999999996,Female
8880,2017-03,Ages 25-34,0.14300000000000002,All
8884,2017-03,Ages 35-49,0.136,All
8888,2017-03,Ages 50-64,0.275,All
8892,2017-03,Ages 65+,0.8959999999999999,All
8896,2017-03,Ages 16-24,0.384,All
8900,2017-03,Ages 25-34,0.07,Male
8904,2017-03,Ages 35-49,0.076,Male
8908,2017-03,Ages 50-64,0.217,Male
8912,2017-03,Ages 65+,0.862,Male
8916,2017-03,Ages 16-24,0.373,Male
8920,2017-03,Ages 25-34,0.215,Female
8924,2017-03,Ages 35-49,0.195,Female
8928,2017-03,Ages 50-64,0.33,Female
8932,2017-03,Ages 65+,0.924,Female
8936,2017-03,Ages 16-24,0.39399999999999996,Female
9060,2017-06,Ages 25-34,0.142,All
9064,2017-06,Ages 35-49,0.133,All
9068,2017-06,Ages 50-64,0.27399999999999997,All
9072,2017-06,Ages 65+,0.8959999999999999,All
9076,2017-06,Ages 16-24,0.389,All
9080,2017-06,Ages 25-34,0.071,Male
9084,2017-06,Ages 35-49,0.076,Male
9088,2017-06,Ages 50-64,0.217,Male
9092,2017-06,Ages 65+,0.863,Male
9096,2017-06,Ages 16-24,0.375,Male
9100,2017-06,Ages 25-34,0.213,Female
9104,2017-06,Ages 35-49,0.19,Female
9108,2017-06,Ages 50-64,0.32899999999999996,Female
9112,2017-06,Ages 65+,0.924,Female
9116,2017-06,Ages 16-24,0.40299999999999997,Female
9240,2017-09,Ages 25-34,0.14,All
9244,2017-09,Ages 35-49,0.133,All
9248,2017-09,Ages 50-64,0.272,All
9252,2017-09,Ages 65+,0.8959999999999999,All
9256,2017-09,Ages 16-24,0.39,All
9260,2017-09,Ages 25-34,0.071,Male
9264,2017-09,Ages 35-49,0.075,Male
9268,2017-09,Ages 50-64,0.217,Male
9272,2017-09,Ages 65+,0.863,Male
9276,2017-09,Ages 16-24,0.377,Male
9280,2017-09,Ages 25-34,0.209,Female
9284,2017-09,Ages 35-49,0.19,Female
9288,2017-09,Ages 50-64,0.325,Female
9292,2017-09,Ages 65+,0.924,Female
9296,2017-09,Ages 16-24,0.40299999999999997,Female
9420,2017-12,Ages 25-34,0.136,All
9424,2017-12,Ages 35-49,0.132,All
9428,2017-12,Ages 50-64,0.27,All
9432,2017-12,Ages 65+,0.8959999999999999,All
9436,2017-12,Ages 16-24,0.386,All
9440,2017-12,Ages 25-34,0.069,Male
9444,2017-12,Ages 35-49,0.073,Male
9448,2017-12,Ages 50-64,0.215,Male
9452,2017-12,Ages 65+,0.863,Male
9456,2017-12,Ages 16-24,0.373,Male
9460,2017-12,Ages 25-34,0.20199999999999999,Female
9464,2017-12,Ages 35-49,0.18899999999999997,Female
9468,2017-12,Ages 50-64,0.322,Female
9472,2017-12,Ages 65+,0.924,Female
9476,2017-12,Ages 16-24,0.4,Female
9600,2018-03,Ages 25-34,0.13699999999999998,All
9604,2018-03,Ages 35-49,0.131,All
9608,2018-03,Ages 50-64,0.268,All
9612,2018-03,Ages 65+,0.895,All
9616,2018-03,Ages 16-24,0.387,All
9620,2018-03,Ages 25-34,0.073,Male
9624,2018-03,Ages 35-49,0.07200000000000001,Male
9628,2018-03,Ages 50-64,0.215,Male
9632,2018-03,Ages 65+,0.863,Male
9636,2018-03,Ages 16-24,0.377,Male
9640,2018-03,Ages 25-34,0.20199999999999999,Female
9644,2018-03,Ages 35-49,0.188,Female
9648,2018-03,Ages 50-64,0.319,Female
9652,2018-03,Ages 65+,0.9229999999999999,Female
9656,2018-03,Ages 16-24,0.39899999999999997,Female
9780,2018-06,Ages 25-34,0.136,All
9784,2018-06,Ages 35-49,0.131,All
9788,2018-06,Ages 50-64,0.26899999999999996,All
9792,2018-06,Ages 65+,0.895,All
9796,2018-06,Ages 16-24,0.38799999999999996,All
9800,2018-06,Ages 25-34,0.07200000000000001,Male
9804,2018-06,Ages 35-49,0.073,Male
9808,2018-06,Ages 50-64,0.217,Male
9812,2018-06,Ages 65+,0.863,Male
9816,2018-06,Ages 16-24,0.374,Male
9820,2018-06,Ages 25-34,0.201,Female
9824,2018-06,Ages 35-49,0.187,Female
9828,2018-06,Ages 50-64,0.319,Female
9832,2018-06,Ages 65+,0.922,Female
9836,2018-06,Ages 16-24,0.40399999999999997,Female
9960,2018-09,Ages 25-34,0.136,All
9964,2018-09,Ages 35-49,0.13,All
9968,2018-09,Ages 50-64,0.266,All
9972,2018-09,Ages 65+,0.8959999999999999,All
9976,2018-09,Ages 16-24,0.392,All
9980,2018-09,Ages 25-34,0.071,Male
9984,2018-09,Ages 35-49,0.07200000000000001,Male
9988,2018-09,Ages 50-64,0.215,Male
9992,2018-09,Ages 65+,0.8640000000000001,Male
9996,2018-09,Ages 16-24,0.377,Male
10000,2018-09,Ages 25-34,0.2,Female
10004,2018-09,Ages 35-49,0.18600000000000003,Female
10008,2018-09,Ages 50-64,0.315,Female
10012,2018-09,Ages 65+,0.9229999999999999,Female
10016,2018-09,Ages 16-24,0.40700000000000003,Female
10140,2018-12,Ages 25-34,0.136,All
10144,2018-12,Ages 35-49,0.13,All
10148,2018-12,Ages 50-64,0.265,All
10152,2018-12,Ages 65+,0.894,All
10156,2018-12,Ages 16-24,0.39299999999999996,All
10160,2018-12,Ages 25-34,0.07200000000000001,Male
10164,2018-12,Ages 35-49,0.07200000000000001,Male
10168,2018-12,Ages 50-64,0.215,Male
10172,2018-12,Ages 65+,0.86,Male
10176,2018-12,Ages 16-24,0.379,Male
10180,2018-12,Ages 25-34,0.201,Female
10184,2018-12,Ages 35-49,0.185,Female
10188,2018-12,Ages 50-64,0.312,Female
10192,2018-12,Ages 65+,0.922,Female
10196,2018-12,Ages 16-24,0.40700000000000003,Female
10320,2019-03,Ages 25-34,0.134,All
10324,2019-03,Ages 35-49,0.128,All
10328,2019-03,Ages 50-64,0.262,All
10332,2019-03,Ages 65+,0.894,All
10336,2019-03,Ages 16-24,0.39,All
10340,2019-03,Ages 25-34,0.069,Male
10344,2019-03,Ages 35-49,0.07200000000000001,Male
10348,2019-03,Ages 50-64,0.213,Male
10352,2019-03,Ages 65+,0.861,Male
10356,2019-03,Ages 16-24,0.375,Male
10360,2019-03,Ages 25-34,0.2,Female
10364,2019-03,Ages 35-49,0.182,Female
10368,2019-03,Ages 50-64,0.31,Female
10372,2019-03,Ages 65+,0.922,Female
10376,2019-03,Ages 16-24,0.406,Female
10500,2019-06,Ages 25-34,0.132,All
10504,2019-06,Ages 35-49,0.128,All
10508,2019-06,Ages 50-64,0.259,All
10512,2019-06,Ages 65+,0.892,All
10516,2019-06,Ages 16-24,0.389,All
10520,2019-06,Ages 25-34,0.07,Male
10524,2019-06,Ages 35-49,0.07200000000000001,Male
10528,2019-06,Ages 50-64,0.212,Male
10532,2019-06,Ages 65+,0.858,Male
10536,2019-06,Ages 16-24,0.38,Male
10540,2019-06,Ages 25-34,0.195,Female
10544,2019-06,Ages 35-49,0.183,Female
10548,2019-06,Ages 50-64,0.305,Female
10552,2019-06,Ages 65+,0.92,Female
10556,2019-06,Ages 16-24,0.39799999999999996,Female
10680,2019-09,Ages 25-34,0.131,All
10684,2019-09,Ages 35-49,0.13,All
10688,2019-09,Ages 50-64,0.258,All
10692,2019-09,Ages 65+,0.8909999999999999,All
10696,2019-09,Ages 16-24,0.38799999999999996,All
10700,2019-09,Ages 25-34,0.07,Male
10704,2019-09,Ages 35-49,0.073,Male
10708,2019-09,Ages 50-64,0.21100000000000002,Male
10712,2019-09,Ages 65+,0.858,Male
10716,2019-09,Ages 16-24,0.38,Male
10720,2019-09,Ages 25-34,0.193,Female
10724,2019-09,Ages 35-49,0.185,Female
10728,2019-09,Ages 50-64,0.303,Female
10732,2019-09,Ages 65+,0.919,Female
10736,2019-09,Ages 16-24,0.396,Female
10860,2019-12,Ages 25-34,0.131,All
10864,2019-12,Ages 35-49,0.128,All
10868,2019-12,Ages 50-64,0.257,All
10872,2019-12,Ages 65+,0.8909999999999999,All
10876,2019-12,Ages 16-24,0.39,All
10880,2019-12,Ages 25-34,0.073,Male
10884,2019-12,Ages 35-49,0.073,Male
10888,2019-12,Ages 50-64,0.21100000000000002,Male
10892,2019-12,Ages 65+,0.86,Male
10896,2019-12,Ages 16-24,0.381,Male
10900,2019-12,Ages 25-34,0.18899999999999997,Female
10904,2019-12,Ages 35-49,0.182,Female
10908,2019-12,Ages 50-64,0.301,Female
10912,2019-12,Ages 65+,0.917,Female
10916,2019-12,Ages 16-24,0.4,Female
11040,2020-03,Ages 25-34,0.128,All
11044,2020-03,Ages 35-49,0.126,All
11048,2020-03,Ages 50-64,0.256,All
11052,2020-03,Ages 65+,0.888,All
11056,2020-03,Ages 16-24,0.38799999999999996,All
11060,2020-03,Ages 25-34,0.07400000000000001,Male
11064,2020-03,Ages 35-49,0.073,Male
11068,2020-03,Ages 50-64,0.21,Male
11072,2020-03,Ages 65+,0.8590000000000001,Male
11076,2020-03,Ages 16-24,0.382,Male
11080,2020-03,Ages 25-34,0.184,Female
11084,2020-03,Ages 35-49,0.179,Female
11088,2020-03,Ages 50-64,0.3,Female
11092,2020-03,Ages 65+,0.9129999999999999,Female
11096,2020-03,Ages 16-24,0.395,Female
11220,2020-06,Ages 25-34,0.126,All
11224,2020-06,Ages 35-49,0.126,All
11228,2020-06,Ages 50-64,0.258,All
11232,2020-06,Ages 65+,0.8909999999999999,All
11236,2020-06,Ages 16-24,0.387,All
11240,2020-06,Ages 25-34,0.075,Male
11244,2020-06,Ages 35-49,0.07400000000000001,Male
11248,2020-06,Ages 50-64,0.213,Male
11252,2020-06,Ages 65+,0.8640000000000001,Male
11256,2020-06,Ages 16-24,0.382,Male
11260,2020-06,Ages 25-34,0.17800000000000002,Female
11264,2020-06,Ages 35-49,0.17800000000000002,Female
11268,2020-06,Ages 50-64,0.303,Female
11272,2020-06,Ages 65+,0.915,Female
11276,2020-06,Ages 16-24,0.392,Female
11400,2020-09,Ages 25-34,0.124,All
11404,2020-09,Ages 35-49,0.126,All
11408,2020-09,Ages 50-64,0.261,All
11412,2020-09,Ages 65+,0.8909999999999999,All
11416,2020-09,Ages 16-24,0.39399999999999996,All
11420,2020-09,Ages 25-34,0.078,Male
11424,2020-09,Ages 35-49,0.076,Male
11428,2020-09,Ages 50-64,0.215,Male
11432,2020-09,Ages 65+,0.863,Male
11436,2020-09,Ages 16-24,0.39,Male
11440,2020-09,Ages 25-34,0.171,Female
11444,2020-09,Ages 35-49,0.17600000000000002,Female
11448,2020-09,Ages 50-64,0.305,Female
11452,2020-09,Ages 65+,0.915,Female
11456,2020-09,Ages 16-24,0.39899999999999997,Female
11580,2020-12,Ages 25-34,0.12300000000000001,All
11584,2020-12,Ages 35-49,0.126,All
11588,2020-12,Ages 50-64,0.26,All
11592,2020-12,Ages 65+,0.892,All
11596,2020-12,Ages 16-24,0.395,All
11600,2020-12,Ages 25-34,0.079,Male
11604,2020-12,Ages 35-49,0.076,Male
11608,2020-12,Ages 50-64,0.213,Male
11612,2020-12,Ages 65+,0.865,Male
11616,2020-12,Ages 16-24,0.395,Male
11620,2020-12,Ages 25-34,0.168,Female
11624,2020-12,Ages 35-49,0.175,Female
11628,2020-12,Ages 50-64,0.304,Female
11632,2020-12,Ages 65+,0.9159999999999999,Female
11636,2020-12,Ages 16-24,0.396,Female
11760,2021-03,Ages 25-34,0.122,All
11764,2021-03,Ages 35-49,0.128,All
11768,2021-03,Ages 50-64,0.263,All
11772,2021-03,Ages 65+,0.895,All
11776,2021-03,Ages 16-24,0.406,All
11780,2021-03,Ages 25-34,0.08199999999999999,Male
11784,2021-03,Ages 35-49,0.078,Male
11788,2021-03,Ages 50-64,0.217,Male
11792,2021-03,Ages 65+,0.868,Male
11796,2021-03,Ages 16-24,0.408,Male
11800,2021-03,Ages 25-34,0.163,Female
11804,2021-03,Ages 35-49,0.17600000000000002,Female
11808,2021-03,Ages 50-64,0.306,Female
11812,2021-03,Ages 65+,0.919,Female
11816,2021-03,Ages 16-24,0.40299999999999997,Female
11940,2021-06,Ages 25-34,0.124,All
11944,2021-06,Ages 35-49,0.127,All
11948,2021-06,Ages 50-64,0.264,All
11952,2021-06,Ages 65+,0.895,All
11956,2021-06,Ages 16-24,0.419,All
11960,2021-06,Ages 25-34,0.083,Male
11964,2021-06,Ages 35-49,0.078,Male
11968,2021-06,Ages 50-64,0.21899999999999997,Male
11972,2021-06,Ages 65+,0.866,Male
11976,2021-06,Ages 16-24,0.42200000000000004,Male
11980,2021-06,Ages 25-34,0.165,Female
11984,2021-06,Ages 35-49,0.175,Female
11988,2021-06,Ages 50-64,0.308,Female
11992,2021-06,Ages 65+,0.92,Female
11996,2021-06,Ages 16-24,0.41600000000000004,Female
12120,2021-09,Ages 25-34,0.126,All
12124,2021-09,Ages 35-49,0.12300000000000001,All
12128,2021-09,Ages 50-64,0.265,All
12132,2021-09,Ages 65+,0.895,All
12136,2021-09,Ages 16-24,0.41700000000000004,All
12140,2021-09,Ages 25-34,0.084,Male
12144,2021-09,Ages 35-49,0.077,Male
12148,2021-09,Ages 50-64,0.21899999999999997,Male
12152,2021-09,Ages 65+,0.867,Male
12156,2021-09,Ages 16-24,0.415,Male
12160,2021-09,Ages 25-34,0.168,Female
12164,2021-09,Ages 35-49,0.168,Female
12168,2021-09,Ages 50-64,0.309,Female
12172,2021-09,Ages 65+,0.919,Female
12176,2021-09,Ages 16-24,0.419,Female
12300,2021-12,Ages 25-34,0.126,All
12304,2021-12,Ages 35-49,0.12300000000000001,All
12308,2021-12,Ages 50-64,0.26899999999999996,All
12312,2021-12,Ages 65+,0.8959999999999999,All
12316,2021-12,Ages 16-24,0.414,All
12320,2021-12,Ages 25-34,0.086,Male
12324,2021-12,Ages 35-49,0.08,Male
12328,2021-12,Ages 50-64,0.222,Male
12332,2021-12,Ages 65+,0.868,Male
12336,2021-12,Ages 16-24,0.41100000000000003,Male
12340,2021-12,Ages 25-34,0.16699999999999998,Female
12344,2021-12,Ages 35-49,0.16399999999999998,Female
12348,2021-12,Ages 50-64,0.314,Female
12352,2021-12,Ages 65+,0.92,Female
12356,2021-12,Ages 16-24,0.41700000000000004,Female
12480,2022-03,Ages 25-34,0.126,All
12484,2022-03,Ages 35-49,0.12300000000000001,All
12488,2022-03,Ages 50-64,0.27,All
12492,2022-03,Ages 65+,0.894,All
12496,2022-03,Ages 16-24,0.406,All
12500,2022-03,Ages 25-34,0.08199999999999999,Male
12504,2022-03,Ages 35-49,0.077,Male
12508,2022-03,Ages 50-64,0.225,Male
12512,2022-03,Ages 65+,0.866,Male
12516,2022-03,Ages 16-24,0.40299999999999997,Male
12520,2022-03,Ages 25-34,0.17,Female
12524,2022-03,Ages 35-49,0.168,Female
12528,2022-03,Ages 50-64,0.314,Female
12532,2022-03,Ages 65+,0.9179999999999999,Female
12536,2022-03,Ages 16-24,0.41,Female
12660,2022-06,Ages 25-34,0.127,All
12664,2022-06,Ages 35-49,0.122,All
12668,2022-06,Ages 50-64,0.271,All
12672,2022-06,Ages 65+,0.8909999999999999,All
12676,2022-06,Ages 16-24,0.401,All
12680,2022-06,Ages 25-34,0.083,Male
12684,2022-06,Ages 35-49,0.077,Male
12688,2022-06,Ages 50-64,0.226,Male
12692,2022-06,Ages 65+,0.862,Male
12696,2022-06,Ages 16-24,0.395,Male
12700,2022-06,Ages 25-34,0.17300000000000001,Female
12704,2022-06,Ages 35-49,0.166,Female
12708,2022-06,Ages 50-64,0.315,Female
12712,2022-06,Ages 65+,0.917,Female
12716,2022-06,Ages 16-24,0.408,Female
12840,2022-09,Ages 25-34,0.125,All
12844,2022-09,Ages 35-49,0.12300000000000001,All
12848,2022-09,Ages 50-64,0.275,All
12852,2022-09,Ages 65+,0.8909999999999999,All
12856,2022-09,Ages 16-24,0.402,All
12860,2022-09,Ages 25-34,0.08,Male
12864,2022-09,Ages 35-49,0.076,Male
12868,2022-09,Ages 50-64,0.22899999999999998,Male
12872,2022-09,Ages 65+,0.863,Male
12876,2022-09,Ages 16-24,0.40399999999999997,Male
12880,2022-09,Ages 25-34,0.172,Female
12884,2022-09,Ages 35-49,0.16899999999999998,Female
12888,2022-09,Ages 50-64,0.318,Female
12892,2022-09,Ages 65+,0.914,Female
12896,2022-09,Ages 16-24,0.4,Female
13020,2022-12,Ages 25-34,0.124,All
13024,2022-12,Ages 35-49,0.122,All
13028,2022-12,Ages 50-64,0.275,All
13032,2022-12,Ages 65+,0.889,All
13036,2022-12,Ages 16-24,0.401,All
13040,2022-12,Ages 25-34,0.08,Male
13044,2022-12,Ages 35-49,0.075,Male
13048,2022-12,Ages 50-64,0.233,Male
13052,2022-12,Ages 65+,0.861,Male
13056,2022-12,Ages 16-24,0.405,Male
13060,2022-12,Ages 25-34,0.17,Female
13064,2022-12,Ages 35-49,0.168,Female
13068,2022-12,Ages 50-64,0.315,Female
13072,2022-12,Ages 65+,0.9129999999999999,Female
13076,2022-12,Ages 16-24,0.397,Female
13200,2023-03,Ages 25-34,0.128,All
13204,2023-03,Ages 35-49,0.12300000000000001,All
13208,2023-03,Ages 50-64,0.273,All
13212,2023-03,Ages 65+,0.887,All
13216,2023-03,Ages 16-24,0.401,All
13220,2023-03,Ages 25-34,0.087,Male
13224,2023-03,Ages 35-49,0.077,Male
13228,2023-03,Ages 50-64,0.228,Male
13232,2023-03,Ages 65+,0.8590000000000001,Male
13236,2023-03,Ages 16-24,0.39799999999999996,Male
13240,2023-03,Ages 25-34,0.17,Female
13244,2023-03,Ages 35-49,0.168,Female
13248,2023-03,Ages 50-64,0.316,Female
13252,2023-03,Ages 65+,0.912,Female
13256,2023-03,Ages 16-24,0.405,Female
